Precinct,district
LOOKINGGLASS 4,16
LOOKINGGLASS 5,16
LOOKINGGLASS 6,16
MERIDIAN,16
SANTA FE,16
ST ROSE,16
SUGAR CREEK 1,16
SUGAR CREEK 2,16
SUGAR CREEK 3,16
SUGAR CREEK 4,16
SUGAR CREEK 5,16
WADE 1,16
WADE 2,16
WHEATFIELD,16
ASHMORE 1,13
CHARLESTON 1,13
CHARLESTON 10,13
CHARLESTON 11,13
CHARLESTON 12,13
CHARLESTON 13,13
CHARLESTON 14,13
CHARLESTON 15,13
CHARLESTON 16,13
CHARLESTON 17,13
CHARLESTON 18,13
CHARLESTON 19,13
CHARLESTON 2,13
CHARLESTON 3,13
CHARLESTON 4,13
CHARLESTON 5,13
CHARLESTON 6,13
CHARLESTON 8,13
EAST OAKLAND 1,13
HUMBOLDT 1,13
HUTTON 1,13
LAFAYETTE 1,13
LAFAYETTE 2,13
LAFAYETTE 3,13
LAFAYETTE 4,13
MATTOON 10,13
MATTOON 12,13
MATTOON 13,13
MATTOON 16,13
MATTOON 17,13
MATTOON 18,13
MATTOON 19,13
MATTOON 21,13
