Precinct,district
WADE 1,10
WADE 2,10
WHEATFIELD,10
ASHMORE 1,11
CHARLESTON 1,11
CHARLESTON 10,11
CHARLESTON 11,11
CHARLESTON 12,11
CHARLESTON 13,11
CHARLESTON 14,11
CHARLESTON 15,11
CHARLESTON 16,11
CHARLESTON 17,11
CHARLESTON 18,11
CHARLESTON 19,11
CHARLESTON 2,11
CHARLESTON 3,11
CHARLESTON 4,11
CHARLESTON 5,11
CHARLESTON 6,11
CHARLESTON 8,11
EAST OAKLAND 1,11
HUMBOLDT 1,11
HUTTON 1,11
LAFAYETTE 1,11
LAFAYETTE 2,11
LAFAYETTE 3,11
LAFAYETTE 4,11
MATTOON 10,11
MATTOON 12,11
MATTOON 13,11
MATTOON 16,11
MATTOON 17,11
MATTOON 18,11
MATTOON 19,11
MATTOON 21,11
